,Comments
0,"b'my iP11 aftr taking any photo then going to my album to review the photo,they are blurry.Every one of them.But,if I pinch in then back out to the original size,the phot suddenly is no longer blurry,it looks fine. so annoying and why?? @Apple @AppleSupport'"
1,b'@applesupport my dick i stuck in my macbooks usb drive help me u fokingggg baka'
2,"b'@AppleSupport \nHi since 2 hr , and I receive wrong activation code to verify my new account ? And its not work https://t.co/Gh3qXflMsA'"
3,b'RT @RachelTrue: Can get your coders to free my last name from icloud jail?\nBeen locked out for 6+ months because of an uncapitalized t in T\xe2\x80\xa6'
4,b'@TheGirlJE @AppleSupport You know I\xe2\x80\x99m still new to this phone so idk \xf0\x9f\xa5\xb4'
5,b'@TheGirlJE @AppleSupport If you switch back right after I finally switched... we gon have a problem MAAM https://t.co/MyP9G9HKOS'
6,b'RT @RachelTrue: Can get your coders to free my last name from icloud jail?\nBeen locked out for 6+ months because of an uncapitalized t in T\xe2\x80\xa6'
7,b'@AppleSupport No metronome watch apps are working on the Watch... NONE.'
8,"b'@AppleSupport good morning, can you help please? I\xe2\x80\x99m trying to install Flume on my Mac but it says that I do not have permission to do so. I\xe2\x80\x99m the only user and admin of this Mac. I don\xe2\x80\x99t get it?!? https://t.co/fvKVD2wE3u'"
9,"b'@AppleSupport I turned on Notes with iCloud after recently putting my phone in recovery mode. Everything from my MacBook\xe2\x80\x99s on my iPhone, but everything that was just on my iPhone is gone. As you can see, there\xe2\x80\x99s nothing in the other folders, so idk where the rest of my notes are..... https://t.co/nnUGmRqguB'"
10,"b""@AppleSupport So if my battery swells and needs to be replaced when the diagnostics and software say it's operating at peak performance, should I have to pay for the replacement? #Apple #appleinternal"""
11,b'@AppleSupport You needed to point @U2 sorry a$$ songs off MY. Not your phone\n\nIs Bono gona chip in on this over priced tracking device?\nNo? I\xe2\x80\x99m subject to his ego for free?\n\nGet this garbage off my property please Siri.\n\nYa ingenuous c***!\n\nI\xe2\x80\x99m unsure why you believe you were entitled to do?'
12,b'@Apple  @AppleSupport no any response coming from apple service.'
13,b'@yagirlkinah It\xe2\x80\x99s literally always something with these people lately \xf0\x9f\x97\xbf When my tweets start coming from Twitter for Android... yeah @AppleSupport you should be VERY scared!'
14,b'@O2 @AppleSupport I bought a magnasafe charger for my new iPhone however it flicks in and out of charging and loses charge quicker than it charges so serves no purpose. I bought through o2.... please can you tell me how I can get this replaced? Thanks in advance!'
15,b'@AppleSupport \nPlease what is happening to Apple Music ???'
16,"b'Happy to post a positive update on this, was surprised to see the issue get resolved swiftly &amp; silently! Relieved that #MyAppleLife feels normal again! Many thanks @AppleSupport https://t.co/lQQ59Xigo0'"
17,b'RT @RachelTrue: Can get your coders to free my last name from icloud jail?\nBeen locked out for 6+ months because of an uncapitalized t in T\xe2\x80\xa6'
18,b'@AppleSupport Hey! I can\xe2\x80\x99t download my https://t.co/PHnKL2ZzDE data export. Can you assist? https://t.co/8q13ezB2ZM'
19,b'@KeiaBlackfeathr @AppleSupport @Apple Kinda I had to work with the calling'
20,b'RT @RachelTrue: Can get your coders to free my last name from icloud jail?\nBeen locked out for 6+ months because of an uncapitalized t in T\xe2\x80\xa6'
21,"b""@AppleSupport will you add a system preference for the #Deaf people to mute any sound forever? It's so embarrassing for my colleagues to hear whatever I'm doing while I don't! #justice #fairness #accessibility"""
22,"b'RT @Dr_angiee: @AppleSupport @Apple Dear Apple, I did not authorize this transaction, I would like a refund immediately. \nPlease see that m\xe2\x80\xa6'"
23,"b'Please you guys should help me rt and @AppleSupport @Apple \nI can run mad, they no Dey see the kin money with two eye waka straight \xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad'"
24,"b'@googledrive @AppleSupport why are you only allows WhatsApp to take back up on Google Drive, we need more option like on iCloud'"
25,"b'@Apple @AppleSupport I can\xe2\x80\x99t find the built in internal speakers option for the output. I removed the headphones already and disconnected everything, but it didn\xe2\x80\x99t show up still. Help me please \xf0\x9f\xa5\xba\xf0\x9f\x91\x89\xf0\x9f\x91\x88 or else my grandfather kills me \xf0\x9f\x98\xbf\xf0\x9f\x98\xb9 https://t.co/sieFeH4p2Z'"
26,b'@AppleSupport why are you only allows WhatsApp to take back up on iCloud'
27,"b'Please you guys should help me rt and @AppleSupport @Apple \nI can run mad, they no Dey see the kin money with two eye waka straight \xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad https://t.co/5vyyIMiLqj'"
28,b'@nashasgoodtakes ok maybe this has to do with my phone @Apple @AppleSupport @apple this shit aint working!!!'
29,"b'@AppleSupport hi, my phone has been working fine until this week. Now when I make a call the receiver can\xe2\x80\x99t hear me even on loudspeaker. I\xe2\x80\x99ve tried recording videos and the sound works fine on them. Do you have any idea?'"
